"SRR" "source" "donor" "BAM" "keep" "stub" "name"
"SRR2775708" "SRR2775708" "Blast" "SU070" "SRR2775708.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_46"
"SRR2775709" "SRR2775709" "Blast" "SU070" "SRR2775709.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_47"
"SRR2775710" "SRR2775710" "Blast" "SU070" "SRR2775710.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_48"
"SRR2775711" "SRR2775711" "Blast" "SU070" "SRR2775711.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_49"
"SRR2775712" "SRR2775712" "Blast" "SU070" "SRR2775712.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_50"
"SRR2775713" "SRR2775713" "Blast" "SU070" "SRR2775713.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_51"
"SRR2775714" "SRR2775714" "Blast" "SU070" "SRR2775714.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_52"
"SRR2775715" "SRR2775715" "Blast" "SU070" "SRR2775715.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_53"
"SRR2775716" "SRR2775716" "Blast" "SU070" "SRR2775716.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_54"
"SRR2775717" "SRR2775717" "Blast" "SU070" "SRR2775717.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_55"
"SRR2775718" "SRR2775718" "Blast" "SU070" "SRR2775718.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_56"
"SRR2775719" "SRR2775719" "Blast" "SU070" "SRR2775719.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_57"
"SRR2775720" "SRR2775720" "Blast" "SU070" "SRR2775720.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_58"
"SRR2775721" "SRR2775721" "Blast" "SU070" "SRR2775721.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_59"
"SRR2775722" "SRR2775722" "Blast" "SU070" "SRR2775722.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_60"
"SRR2775723" "SRR2775723" "Blast" "SU070" "SRR2775723.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_61"
"SRR2775724" "SRR2775724" "Blast" "SU070" "SRR2775724.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_62"
"SRR2775725" "SRR2775725" "Blast" "SU070" "SRR2775725.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_63"
"SRR2775726" "SRR2775726" "Blast" "SU070" "SRR2775726.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_64"
"SRR2775727" "SRR2775727" "Blast" "SU070" "SRR2775727.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_65"
"SRR2775728" "SRR2775728" "Blast" "SU070" "SRR2775728.merged.rCRS.bam" TRUE "SU070_Blast" "SU070_Blast_66"
