"SRR" "source" "donor" "BAM" "keep" "stub" "name"
"SRR3985837" "SRR3985837" "Blast" "SU353" "SRR3985837.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_7"
"SRR3985838" "SRR3985838" "Blast" "SU353" "SRR3985838.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_8"
"SRR3985839" "SRR3985839" "Blast" "SU353" "SRR3985839.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_9"
"SRR3985840" "SRR3985840" "Blast" "SU353" "SRR3985840.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_10"
"SRR3985841" "SRR3985841" "Blast" "SU353" "SRR3985841.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_11"
"SRR3985842" "SRR3985842" "Blast" "SU353" "SRR3985842.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_12"
"SRR3985843" "SRR3985843" "Blast" "SU353" "SRR3985843.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_13"
"SRR3985844" "SRR3985844" "Blast" "SU353" "SRR3985844.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_14"
"SRR3985845" "SRR3985845" "Blast" "SU353" "SRR3985845.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_15"
"SRR3985846" "SRR3985846" "Blast" "SU353" "SRR3985846.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_16"
"SRR3985847" "SRR3985847" "Blast" "SU353" "SRR3985847.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_17"
"SRR3985848" "SRR3985848" "Blast" "SU353" "SRR3985848.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_18"
"SRR3985849" "SRR3985849" "Blast" "SU353" "SRR3985849.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_19"
"SRR3985850" "SRR3985850" "Blast" "SU353" "SRR3985850.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_20"
"SRR3985851" "SRR3985851" "Blast" "SU353" "SRR3985851.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_21"
"SRR3985852" "SRR3985852" "Blast" "SU353" "SRR3985852.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_22"
"SRR3985853" "SRR3985853" "Blast" "SU353" "SRR3985853.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_23"
"SRR3985854" "SRR3985854" "Blast" "SU353" "SRR3985854.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_24"
"SRR3985855" "SRR3985855" "Blast" "SU353" "SRR3985855.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_25"
"SRR3985856" "SRR3985856" "Blast" "SU353" "SRR3985856.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_26"
"SRR3985857" "SRR3985857" "Blast" "SU353" "SRR3985857.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_27"
"SRR3985858" "SRR3985858" "Blast" "SU353" "SRR3985858.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_28"
"SRR3985859" "SRR3985859" "Blast" "SU353" "SRR3985859.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_29"
"SRR3985860" "SRR3985860" "Blast" "SU353" "SRR3985860.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_30"
"SRR3985861" "SRR3985861" "Blast" "SU353" "SRR3985861.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_31"
"SRR3985862" "SRR3985862" "Blast" "SU353" "SRR3985862.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_32"
"SRR3985863" "SRR3985863" "Blast" "SU353" "SRR3985863.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_33"
"SRR3985864" "SRR3985864" "Blast" "SU353" "SRR3985864.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_34"
"SRR3985865" "SRR3985865" "Blast" "SU353" "SRR3985865.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_35"
"SRR3985866" "SRR3985866" "Blast" "SU353" "SRR3985866.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_36"
"SRR3985867" "SRR3985867" "Blast" "SU353" "SRR3985867.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_37"
"SRR3985868" "SRR3985868" "Blast" "SU353" "SRR3985868.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_38"
"SRR3985869" "SRR3985869" "Blast" "SU353" "SRR3985869.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_39"
"SRR3985870" "SRR3985870" "Blast" "SU353" "SRR3985870.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_40"
"SRR3985871" "SRR3985871" "Blast" "SU353" "SRR3985871.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_41"
"SRR3985872" "SRR3985872" "Blast" "SU353" "SRR3985872.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_42"
"SRR3985873" "SRR3985873" "Blast" "SU353" "SRR3985873.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_43"
"SRR3985874" "SRR3985874" "Blast" "SU353" "SRR3985874.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_44"
"SRR3985875" "SRR3985875" "Blast" "SU353" "SRR3985875.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_45"
"SRR3985876" "SRR3985876" "Blast" "SU353" "SRR3985876.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_46"
"SRR3985877" "SRR3985877" "Blast" "SU353" "SRR3985877.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_47"
"SRR3985878" "SRR3985878" "Blast" "SU353" "SRR3985878.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_48"
"SRR3985879" "SRR3985879" "Blast" "SU353" "SRR3985879.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_49"
"SRR3985880" "SRR3985880" "Blast" "SU353" "SRR3985880.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_50"
"SRR3985881" "SRR3985881" "Blast" "SU353" "SRR3985881.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_51"
"SRR3985882" "SRR3985882" "Blast" "SU353" "SRR3985882.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_52"
"SRR3985883" "SRR3985883" "Blast" "SU353" "SRR3985883.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_53"
"SRR3985884" "SRR3985884" "Blast" "SU353" "SRR3985884.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_54"
"SRR3985885" "SRR3985885" "Blast" "SU353" "SRR3985885.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_55"
"SRR3985886" "SRR3985886" "Blast" "SU353" "SRR3985886.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_56"
"SRR3985887" "SRR3985887" "Blast" "SU353" "SRR3985887.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_57"
"SRR3985888" "SRR3985888" "Blast" "SU353" "SRR3985888.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_58"
"SRR3985890" "SRR3985890" "Blast" "SU353" "SRR3985890.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_59"
"SRR3985891" "SRR3985891" "Blast" "SU353" "SRR3985891.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_60"
"SRR3985892" "SRR3985892" "Blast" "SU353" "SRR3985892.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_61"
"SRR3985893" "SRR3985893" "Blast" "SU353" "SRR3985893.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_62"
"SRR3985894" "SRR3985894" "Blast" "SU353" "SRR3985894.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_63"
"SRR3985895" "SRR3985895" "Blast" "SU353" "SRR3985895.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_64"
"SRR3985896" "SRR3985896" "Blast" "SU353" "SRR3985896.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_65"
"SRR3985897" "SRR3985897" "Blast" "SU353" "SRR3985897.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_66"
"SRR3985898" "SRR3985898" "Blast" "SU353" "SRR3985898.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_67"
"SRR3985899" "SRR3985899" "Blast" "SU353" "SRR3985899.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_68"
"SRR3985900" "SRR3985900" "Blast" "SU353" "SRR3985900.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_69"
"SRR3985901" "SRR3985901" "Blast" "SU353" "SRR3985901.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_70"
"SRR3985902" "SRR3985902" "Blast" "SU353" "SRR3985902.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_71"
"SRR3985903" "SRR3985903" "Blast" "SU353" "SRR3985903.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_72"
"SRR3985904" "SRR3985904" "Blast" "SU353" "SRR3985904.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_73"
"SRR3985905" "SRR3985905" "Blast" "SU353" "SRR3985905.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_74"
"SRR3985906" "SRR3985906" "Blast" "SU353" "SRR3985906.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_75"
"SRR3985907" "SRR3985907" "Blast" "SU353" "SRR3985907.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_76"
"SRR3985908" "SRR3985908" "Blast" "SU353" "SRR3985908.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_77"
"SRR3985909" "SRR3985909" "Blast" "SU353" "SRR3985909.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_78"
"SRR3985910" "SRR3985910" "Blast" "SU353" "SRR3985910.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_79"
"SRR3985911" "SRR3985911" "Blast" "SU353" "SRR3985911.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_80"
"SRR3985912" "SRR3985912" "Blast" "SU353" "SRR3985912.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_81"
"SRR3985913" "SRR3985913" "Blast" "SU353" "SRR3985913.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_82"
"SRR3985914" "SRR3985914" "Blast" "SU353" "SRR3985914.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_83"
"SRR3985915" "SRR3985915" "Blast" "SU353" "SRR3985915.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_84"
"SRR3985916" "SRR3985916" "Blast" "SU353" "SRR3985916.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_85"
"SRR3985917" "SRR3985917" "Blast" "SU353" "SRR3985917.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_86"
"SRR3985918" "SRR3985918" "Blast" "SU353" "SRR3985918.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_87"
"SRR3985919" "SRR3985919" "Blast" "SU353" "SRR3985919.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_88"
"SRR3985920" "SRR3985920" "Blast" "SU353" "SRR3985920.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_89"
"SRR3985921" "SRR3985921" "Blast" "SU353" "SRR3985921.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_90"
"SRR3985922" "SRR3985922" "Blast" "SU353" "SRR3985922.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_91"
"SRR3985923" "SRR3985923" "Blast" "SU353" "SRR3985923.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_92"
"SRR3985924" "SRR3985924" "Blast" "SU353" "SRR3985924.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_93"
"SRR3985925" "SRR3985925" "Blast" "SU353" "SRR3985925.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_94"
"SRR3985926" "SRR3985926" "Blast" "SU353" "SRR3985926.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_95"
"SRR3985927" "SRR3985927" "Blast" "SU353" "SRR3985927.merged.rCRS.bam" TRUE "SU353_Blast" "SU353_Blast_96"
"SRR3985928" "SRR3985928" "LSC" "SU353" "SRR3985928.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_1"
"SRR3985929" "SRR3985929" "LSC" "SU353" "SRR3985929.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_2"
"SRR3985930" "SRR3985930" "LSC" "SU353" "SRR3985930.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_3"
"SRR3985931" "SRR3985931" "LSC" "SU353" "SRR3985931.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_4"
"SRR3985932" "SRR3985932" "LSC" "SU353" "SRR3985932.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_5"
"SRR3985933" "SRR3985933" "LSC" "SU353" "SRR3985933.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_6"
"SRR3985934" "SRR3985934" "LSC" "SU353" "SRR3985934.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_7"
"SRR3985935" "SRR3985935" "LSC" "SU353" "SRR3985935.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_8"
"SRR3985936" "SRR3985936" "LSC" "SU353" "SRR3985936.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_9"
"SRR3985937" "SRR3985937" "LSC" "SU353" "SRR3985937.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_10"
"SRR3985938" "SRR3985938" "LSC" "SU353" "SRR3985938.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_11"
"SRR3985939" "SRR3985939" "LSC" "SU353" "SRR3985939.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_12"
"SRR3985940" "SRR3985940" "LSC" "SU353" "SRR3985940.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_13"
"SRR3985941" "SRR3985941" "LSC" "SU353" "SRR3985941.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_14"
"SRR3985942" "SRR3985942" "LSC" "SU353" "SRR3985942.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_15"
"SRR3985943" "SRR3985943" "LSC" "SU353" "SRR3985943.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_16"
"SRR3985944" "SRR3985944" "LSC" "SU353" "SRR3985944.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_17"
"SRR3985945" "SRR3985945" "LSC" "SU353" "SRR3985945.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_18"
"SRR3985946" "SRR3985946" "LSC" "SU353" "SRR3985946.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_19"
"SRR3985947" "SRR3985947" "LSC" "SU353" "SRR3985947.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_20"
"SRR3985948" "SRR3985948" "LSC" "SU353" "SRR3985948.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_21"
"SRR3985949" "SRR3985949" "LSC" "SU353" "SRR3985949.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_22"
"SRR3985950" "SRR3985950" "LSC" "SU353" "SRR3985950.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_23"
"SRR3985951" "SRR3985951" "LSC" "SU353" "SRR3985951.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_24"
"SRR3985952" "SRR3985952" "LSC" "SU353" "SRR3985952.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_25"
"SRR3985953" "SRR3985953" "LSC" "SU353" "SRR3985953.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_26"
"SRR3985954" "SRR3985954" "LSC" "SU353" "SRR3985954.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_27"
"SRR3985955" "SRR3985955" "LSC" "SU353" "SRR3985955.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_28"
"SRR3985956" "SRR3985956" "LSC" "SU353" "SRR3985956.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_29"
"SRR3985957" "SRR3985957" "LSC" "SU353" "SRR3985957.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_30"
"SRR3985958" "SRR3985958" "LSC" "SU353" "SRR3985958.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_31"
"SRR3985959" "SRR3985959" "LSC" "SU353" "SRR3985959.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_32"
"SRR3985960" "SRR3985960" "LSC" "SU353" "SRR3985960.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_33"
"SRR3985961" "SRR3985961" "LSC" "SU353" "SRR3985961.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_34"
"SRR3985962" "SRR3985962" "LSC" "SU353" "SRR3985962.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_35"
"SRR3985963" "SRR3985963" "LSC" "SU353" "SRR3985963.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_36"
"SRR3985964" "SRR3985964" "LSC" "SU353" "SRR3985964.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_37"
"SRR3985965" "SRR3985965" "LSC" "SU353" "SRR3985965.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_38"
"SRR3985966" "SRR3985966" "LSC" "SU353" "SRR3985966.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_39"
"SRR3985967" "SRR3985967" "LSC" "SU353" "SRR3985967.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_40"
"SRR3985968" "SRR3985968" "LSC" "SU353" "SRR3985968.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_41"
"SRR3985969" "SRR3985969" "LSC" "SU353" "SRR3985969.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_42"
"SRR3985970" "SRR3985970" "LSC" "SU353" "SRR3985970.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_43"
"SRR3985971" "SRR3985971" "LSC" "SU353" "SRR3985971.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_44"
"SRR3985972" "SRR3985972" "LSC" "SU353" "SRR3985972.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_45"
"SRR3985973" "SRR3985973" "LSC" "SU353" "SRR3985973.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_46"
"SRR3985974" "SRR3985974" "LSC" "SU353" "SRR3985974.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_47"
"SRR3985975" "SRR3985975" "LSC" "SU353" "SRR3985975.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_48"
"SRR3985976" "SRR3985976" "LSC" "SU353" "SRR3985976.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_49"
"SRR3985977" "SRR3985977" "LSC" "SU353" "SRR3985977.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_50"
"SRR3985978" "SRR3985978" "LSC" "SU353" "SRR3985978.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_51"
"SRR3985979" "SRR3985979" "LSC" "SU353" "SRR3985979.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_52"
"SRR3985980" "SRR3985980" "LSC" "SU353" "SRR3985980.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_53"
"SRR3985981" "SRR3985981" "LSC" "SU353" "SRR3985981.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_54"
"SRR3985982" "SRR3985982" "LSC" "SU353" "SRR3985982.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_55"
"SRR3985983" "SRR3985983" "LSC" "SU353" "SRR3985983.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_56"
"SRR3985984" "SRR3985984" "LSC" "SU353" "SRR3985984.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_57"
"SRR3985985" "SRR3985985" "LSC" "SU353" "SRR3985985.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_58"
"SRR3985986" "SRR3985986" "LSC" "SU353" "SRR3985986.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_59"
"SRR3985987" "SRR3985987" "LSC" "SU353" "SRR3985987.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_60"
"SRR3985988" "SRR3985988" "LSC" "SU353" "SRR3985988.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_61"
"SRR3985989" "SRR3985989" "LSC" "SU353" "SRR3985989.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_62"
"SRR3985990" "SRR3985990" "LSC" "SU353" "SRR3985990.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_63"
"SRR3985991" "SRR3985991" "LSC" "SU353" "SRR3985991.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_64"
"SRR3985992" "SRR3985992" "LSC" "SU353" "SRR3985992.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_65"
"SRR3985993" "SRR3985993" "LSC" "SU353" "SRR3985993.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_66"
"SRR3985994" "SRR3985994" "LSC" "SU353" "SRR3985994.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_67"
"SRR3985995" "SRR3985995" "LSC" "SU353" "SRR3985995.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_68"
"SRR3985996" "SRR3985996" "LSC" "SU353" "SRR3985996.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_69"
"SRR3985997" "SRR3985997" "LSC" "SU353" "SRR3985997.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_70"
"SRR3985998" "SRR3985998" "LSC" "SU353" "SRR3985998.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_71"
"SRR3985999" "SRR3985999" "LSC" "SU353" "SRR3985999.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_72"
"SRR3986000" "SRR3986000" "LSC" "SU353" "SRR3986000.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_73"
"SRR3986001" "SRR3986001" "LSC" "SU353" "SRR3986001.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_74"
"SRR3986002" "SRR3986002" "LSC" "SU353" "SRR3986002.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_75"
"SRR3986003" "SRR3986003" "LSC" "SU353" "SRR3986003.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_76"
"SRR3986004" "SRR3986004" "LSC" "SU353" "SRR3986004.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_77"
"SRR3986005" "SRR3986005" "LSC" "SU353" "SRR3986005.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_78"
"SRR3986006" "SRR3986006" "LSC" "SU353" "SRR3986006.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_79"
"SRR3986007" "SRR3986007" "LSC" "SU353" "SRR3986007.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_80"
"SRR3986008" "SRR3986008" "LSC" "SU353" "SRR3986008.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_81"
"SRR3986009" "SRR3986009" "LSC" "SU353" "SRR3986009.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_82"
"SRR3986010" "SRR3986010" "LSC" "SU353" "SRR3986010.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_83"
"SRR3986011" "SRR3986011" "LSC" "SU353" "SRR3986011.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_84"
"SRR3986012" "SRR3986012" "LSC" "SU353" "SRR3986012.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_85"
"SRR3986013" "SRR3986013" "LSC" "SU353" "SRR3986013.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_86"
"SRR3986014" "SRR3986014" "LSC" "SU353" "SRR3986014.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_87"
"SRR3986015" "SRR3986015" "LSC" "SU353" "SRR3986015.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_88"
"SRR3986016" "SRR3986016" "LSC" "SU353" "SRR3986016.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_89"
"SRR3986017" "SRR3986017" "LSC" "SU353" "SRR3986017.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_90"
"SRR3986018" "SRR3986018" "LSC" "SU353" "SRR3986018.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_91"
"SRR3986019" "SRR3986019" "LSC" "SU353" "SRR3986019.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_92"
"SRR3986020" "SRR3986020" "LSC" "SU353" "SRR3986020.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_93"
"SRR3986021" "SRR3986021" "LSC" "SU353" "SRR3986021.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_94"
"SRR3986022" "SRR3986022" "LSC" "SU353" "SRR3986022.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_95"
"SRR3986023" "SRR3986023" "LSC" "SU353" "SRR3986023.merged.rCRS.bam" TRUE "SU353_LSC" "SU353_LSC_96"
"SRR3986024" "SRR3986024" "LMPP" "BM1077" "SRR3986024.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_1"
"SRR3986025" "SRR3986025" "LMPP" "BM1077" "SRR3986025.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_2"
"SRR3986026" "SRR3986026" "LMPP" "BM1077" "SRR3986026.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_3"
"SRR3986027" "SRR3986027" "LMPP" "BM1077" "SRR3986027.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_4"
"SRR3986028" "SRR3986028" "LMPP" "BM1077" "SRR3986028.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_5"
"SRR3986029" "SRR3986029" "LMPP" "BM1077" "SRR3986029.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_6"
"SRR3986030" "SRR3986030" "LMPP" "BM1077" "SRR3986030.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_7"
"SRR3986031" "SRR3986031" "LMPP" "BM1077" "SRR3986031.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_8"
"SRR3986032" "SRR3986032" "LMPP" "BM1077" "SRR3986032.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_9"
"SRR3986033" "SRR3986033" "LMPP" "BM1077" "SRR3986033.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_10"
"SRR3986034" "SRR3986034" "LMPP" "BM1077" "SRR3986034.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_11"
"SRR3986035" "SRR3986035" "LMPP" "BM1077" "SRR3986035.merged.rCRS.bam" TRUE "BM1077_LMPP" "BM1077_LMPP_12"
