"","name","subect","celltype","cell","BAM","depth"
"PB1022_Monocyte_70.hg19","PB1022_Monocyte_70.hg19","PB1022","Monocyte","70.hg19","BAMs/PB1022_Monocyte_70.hg19_rCRSchrm.bam",6813
"PB1022_Monocyte_73.hg19","PB1022_Monocyte_73.hg19","PB1022","Monocyte","73.hg19","BAMs/PB1022_Monocyte_73.hg19_rCRSchrm.bam",55919
"PB1022_Monocyte_74.hg19","PB1022_Monocyte_74.hg19","PB1022","Monocyte","74.hg19","BAMs/PB1022_Monocyte_74.hg19_rCRSchrm.bam",24573
"PB1022_Monocyte_75.hg19","PB1022_Monocyte_75.hg19","PB1022","Monocyte","75.hg19","BAMs/PB1022_Monocyte_75.hg19_rCRSchrm.bam",31119
"PB1022_Monocyte_76.hg19","PB1022_Monocyte_76.hg19","PB1022","Monocyte","76.hg19","BAMs/PB1022_Monocyte_76.hg19_rCRSchrm.bam",31662
"PB1022_Monocyte_77.hg19","PB1022_Monocyte_77.hg19","PB1022","Monocyte","77.hg19","BAMs/PB1022_Monocyte_77.hg19_rCRSchrm.bam",96892
"PB1022_Monocyte_78.hg19","PB1022_Monocyte_78.hg19","PB1022","Monocyte","78.hg19","BAMs/PB1022_Monocyte_78.hg19_rCRSchrm.bam",32274
"PB1022_Monocyte_80.hg19","PB1022_Monocyte_80.hg19","PB1022","Monocyte","80.hg19","BAMs/PB1022_Monocyte_80.hg19_rCRSchrm.bam",156956
"PB1022_Monocyte_82.hg19","PB1022_Monocyte_82.hg19","PB1022","Monocyte","82.hg19","BAMs/PB1022_Monocyte_82.hg19_rCRSchrm.bam",16919
"PB1022_Monocyte_83.hg19","PB1022_Monocyte_83.hg19","PB1022","Monocyte","83.hg19","BAMs/PB1022_Monocyte_83.hg19_rCRSchrm.bam",17842
"PB1022_Monocyte_85.hg19","PB1022_Monocyte_85.hg19","PB1022","Monocyte","85.hg19","BAMs/PB1022_Monocyte_85.hg19_rCRSchrm.bam",28443
"PB1022_Monocyte_86.hg19","PB1022_Monocyte_86.hg19","PB1022","Monocyte","86.hg19","BAMs/PB1022_Monocyte_86.hg19_rCRSchrm.bam",58850
"PB1022_Monocyte_87.hg19","PB1022_Monocyte_87.hg19","PB1022","Monocyte","87.hg19","BAMs/PB1022_Monocyte_87.hg19_rCRSchrm.bam",60551
"PB1022_Monocyte_88.hg19","PB1022_Monocyte_88.hg19","PB1022","Monocyte","88.hg19","BAMs/PB1022_Monocyte_88.hg19_rCRSchrm.bam",51919
"PB1022_Monocyte_8.hg19","PB1022_Monocyte_8.hg19","PB1022","Monocyte","8.hg19","BAMs/PB1022_Monocyte_8.hg19_rCRSchrm.bam",26494
"PB1022_Monocyte_90.hg19","PB1022_Monocyte_90.hg19","PB1022","Monocyte","90.hg19","BAMs/PB1022_Monocyte_90.hg19_rCRSchrm.bam",33507
"PB1022_Monocyte_91.hg19","PB1022_Monocyte_91.hg19","PB1022","Monocyte","91.hg19","BAMs/PB1022_Monocyte_91.hg19_rCRSchrm.bam",80610
"PB1022_Monocyte_95.hg19","PB1022_Monocyte_95.hg19","PB1022","Monocyte","95.hg19","BAMs/PB1022_Monocyte_95.hg19_rCRSchrm.bam",10389
"PB1022_Monocyte_96.hg19","PB1022_Monocyte_96.hg19","PB1022","Monocyte","96.hg19","BAMs/PB1022_Monocyte_96.hg19_rCRSchrm.bam",14164
"SU070_Blast_13.hg19","SU070_Blast_13.hg19","SU070","Blast","13.hg19","BAMs/SU070_Blast_13.hg19_rCRSchrm.bam",24303
"SU070_Blast_1.hg19","SU070_Blast_1.hg19","SU070","Blast","1.hg19","BAMs/SU070_Blast_1.hg19_rCRSchrm.bam",47143
"SU070_Blast_20.hg19","SU070_Blast_20.hg19","SU070","Blast","20.hg19","BAMs/SU070_Blast_20.hg19_rCRSchrm.bam",34638
"SU070_Blast_21.hg19","SU070_Blast_21.hg19","SU070","Blast","21.hg19","BAMs/SU070_Blast_21.hg19_rCRSchrm.bam",8300
"SU070_Blast_22.hg19","SU070_Blast_22.hg19","SU070","Blast","22.hg19","BAMs/SU070_Blast_22.hg19_rCRSchrm.bam",14756
"SU070_Blast_32.hg19","SU070_Blast_32.hg19","SU070","Blast","32.hg19","BAMs/SU070_Blast_32.hg19_rCRSchrm.bam",4039
"SU070_Blast_33.hg19","SU070_Blast_33.hg19","SU070","Blast","33.hg19","BAMs/SU070_Blast_33.hg19_rCRSchrm.bam",5736
"SU070_Blast_34.hg19","SU070_Blast_34.hg19","SU070","Blast","34.hg19","BAMs/SU070_Blast_34.hg19_rCRSchrm.bam",39285
"SU070_Blast_36.hg19","SU070_Blast_36.hg19","SU070","Blast","36.hg19","BAMs/SU070_Blast_36.hg19_rCRSchrm.bam",19511
"SU070_Blast_37.hg19","SU070_Blast_37.hg19","SU070","Blast","37.hg19","BAMs/SU070_Blast_37.hg19_rCRSchrm.bam",76489
"SU070_Blast_3.hg19","SU070_Blast_3.hg19","SU070","Blast","3.hg19","BAMs/SU070_Blast_3.hg19_rCRSchrm.bam",71325
"SU070_Blast_43.hg19","SU070_Blast_43.hg19","SU070","Blast","43.hg19","BAMs/SU070_Blast_43.hg19_rCRSchrm.bam",32529
"SU070_Blast_46.hg19","SU070_Blast_46.hg19","SU070","Blast","46.hg19","BAMs/SU070_Blast_46.hg19_rCRSchrm.bam",22242
"SU070_Blast_4.hg19","SU070_Blast_4.hg19","SU070","Blast","4.hg19","BAMs/SU070_Blast_4.hg19_rCRSchrm.bam",23420
"SU070_Blast_50.hg19","SU070_Blast_50.hg19","SU070","Blast","50.hg19","BAMs/SU070_Blast_50.hg19_rCRSchrm.bam",14050
"SU070_Blast_51.hg19","SU070_Blast_51.hg19","SU070","Blast","51.hg19","BAMs/SU070_Blast_51.hg19_rCRSchrm.bam",29701
"SU070_Blast_56.hg19","SU070_Blast_56.hg19","SU070","Blast","56.hg19","BAMs/SU070_Blast_56.hg19_rCRSchrm.bam",11773
"SU070_Blast_57.hg19","SU070_Blast_57.hg19","SU070","Blast","57.hg19","BAMs/SU070_Blast_57.hg19_rCRSchrm.bam",48782
"SU070_Blast_5.hg19","SU070_Blast_5.hg19","SU070","Blast","5.hg19","BAMs/SU070_Blast_5.hg19_rCRSchrm.bam",7896
"SU070_Blast_61.hg19","SU070_Blast_61.hg19","SU070","Blast","61.hg19","BAMs/SU070_Blast_61.hg19_rCRSchrm.bam",41383
"SU070_Blast_63.hg19","SU070_Blast_63.hg19","SU070","Blast","63.hg19","BAMs/SU070_Blast_63.hg19_rCRSchrm.bam",12697
"SU070_Blast_64.hg19","SU070_Blast_64.hg19","SU070","Blast","64.hg19","BAMs/SU070_Blast_64.hg19_rCRSchrm.bam",25945
"SU070_Blast_68.hg19","SU070_Blast_68.hg19","SU070","Blast","68.hg19","BAMs/SU070_Blast_68.hg19_rCRSchrm.bam",27169
"SU070_Blast_69.hg19","SU070_Blast_69.hg19","SU070","Blast","69.hg19","BAMs/SU070_Blast_69.hg19_rCRSchrm.bam",6552
"SU070_Blast_70.hg19","SU070_Blast_70.hg19","SU070","Blast","70.hg19","BAMs/SU070_Blast_70.hg19_rCRSchrm.bam",40326
"SU070_Blast_71.hg19","SU070_Blast_71.hg19","SU070","Blast","71.hg19","BAMs/SU070_Blast_71.hg19_rCRSchrm.bam",26743
"SU070_Blast_73.hg19","SU070_Blast_73.hg19","SU070","Blast","73.hg19","BAMs/SU070_Blast_73.hg19_rCRSchrm.bam",39388
"SU070_Blast_75.hg19","SU070_Blast_75.hg19","SU070","Blast","75.hg19","BAMs/SU070_Blast_75.hg19_rCRSchrm.bam",10160
"SU070_Blast_77.hg19","SU070_Blast_77.hg19","SU070","Blast","77.hg19","BAMs/SU070_Blast_77.hg19_rCRSchrm.bam",37911
"SU070_Blast_79.hg19","SU070_Blast_79.hg19","SU070","Blast","79.hg19","BAMs/SU070_Blast_79.hg19_rCRSchrm.bam",14969
"SU070_Blast_80.hg19","SU070_Blast_80.hg19","SU070","Blast","80.hg19","BAMs/SU070_Blast_80.hg19_rCRSchrm.bam",5208
"SU070_Blast_81.hg19","SU070_Blast_81.hg19","SU070","Blast","81.hg19","BAMs/SU070_Blast_81.hg19_rCRSchrm.bam",51228
"SU070_Blast_82.hg19","SU070_Blast_82.hg19","SU070","Blast","82.hg19","BAMs/SU070_Blast_82.hg19_rCRSchrm.bam",25166
"SU070_Blast_86.hg19","SU070_Blast_86.hg19","SU070","Blast","86.hg19","BAMs/SU070_Blast_86.hg19_rCRSchrm.bam",11675
"SU070_Blast_87.hg19","SU070_Blast_87.hg19","SU070","Blast","87.hg19","BAMs/SU070_Blast_87.hg19_rCRSchrm.bam",25851
"SU070_Blast_91.hg19","SU070_Blast_91.hg19","SU070","Blast","91.hg19","BAMs/SU070_Blast_91.hg19_rCRSchrm.bam",22728
"SU070_Blast_93.hg19","SU070_Blast_93.hg19","SU070","Blast","93.hg19","BAMs/SU070_Blast_93.hg19_rCRSchrm.bam",16649
"SU070_LSC_10.hg19","SU070_LSC_10.hg19","SU070","LSC","10.hg19","BAMs/SU070_LSC_10.hg19_rCRSchrm.bam",27868
"SU070_LSC_12.hg19","SU070_LSC_12.hg19","SU070","LSC","12.hg19","BAMs/SU070_LSC_12.hg19_rCRSchrm.bam",29355
"SU070_LSC_16.hg19","SU070_LSC_16.hg19","SU070","LSC","16.hg19","BAMs/SU070_LSC_16.hg19_rCRSchrm.bam",20318
"SU070_LSC_17.hg19","SU070_LSC_17.hg19","SU070","LSC","17.hg19","BAMs/SU070_LSC_17.hg19_rCRSchrm.bam",26908
"SU070_LSC_19.hg19","SU070_LSC_19.hg19","SU070","LSC","19.hg19","BAMs/SU070_LSC_19.hg19_rCRSchrm.bam",11047
"SU070_LSC_1.hg19","SU070_LSC_1.hg19","SU070","LSC","1.hg19","BAMs/SU070_LSC_1.hg19_rCRSchrm.bam",7692
"SU070_LSC_22.hg19","SU070_LSC_22.hg19","SU070","LSC","22.hg19","BAMs/SU070_LSC_22.hg19_rCRSchrm.bam",7126
"SU070_LSC_23.hg19","SU070_LSC_23.hg19","SU070","LSC","23.hg19","BAMs/SU070_LSC_23.hg19_rCRSchrm.bam",25435
"SU070_LSC_24.hg19","SU070_LSC_24.hg19","SU070","LSC","24.hg19","BAMs/SU070_LSC_24.hg19_rCRSchrm.bam",5681
"SU070_LSC_25.hg19","SU070_LSC_25.hg19","SU070","LSC","25.hg19","BAMs/SU070_LSC_25.hg19_rCRSchrm.bam",16687
"SU070_LSC_26.hg19","SU070_LSC_26.hg19","SU070","LSC","26.hg19","BAMs/SU070_LSC_26.hg19_rCRSchrm.bam",18818
"SU070_LSC_27.hg19","SU070_LSC_27.hg19","SU070","LSC","27.hg19","BAMs/SU070_LSC_27.hg19_rCRSchrm.bam",17901
"SU070_LSC_28.hg19","SU070_LSC_28.hg19","SU070","LSC","28.hg19","BAMs/SU070_LSC_28.hg19_rCRSchrm.bam",10403
"SU070_LSC_29.hg19","SU070_LSC_29.hg19","SU070","LSC","29.hg19","BAMs/SU070_LSC_29.hg19_rCRSchrm.bam",7148
"SU070_LSC_30.hg19","SU070_LSC_30.hg19","SU070","LSC","30.hg19","BAMs/SU070_LSC_30.hg19_rCRSchrm.bam",19028
"SU070_LSC_32.hg19","SU070_LSC_32.hg19","SU070","LSC","32.hg19","BAMs/SU070_LSC_32.hg19_rCRSchrm.bam",14727
"SU070_LSC_34.hg19","SU070_LSC_34.hg19","SU070","LSC","34.hg19","BAMs/SU070_LSC_34.hg19_rCRSchrm.bam",8178
"SU070_LSC_35.hg19","SU070_LSC_35.hg19","SU070","LSC","35.hg19","BAMs/SU070_LSC_35.hg19_rCRSchrm.bam",9604
"SU070_LSC_36.hg19","SU070_LSC_36.hg19","SU070","LSC","36.hg19","BAMs/SU070_LSC_36.hg19_rCRSchrm.bam",37516
"SU070_LSC_37.hg19","SU070_LSC_37.hg19","SU070","LSC","37.hg19","BAMs/SU070_LSC_37.hg19_rCRSchrm.bam",21396
"SU070_LSC_40.hg19","SU070_LSC_40.hg19","SU070","LSC","40.hg19","BAMs/SU070_LSC_40.hg19_rCRSchrm.bam",27500
"SU070_LSC_41.hg19","SU070_LSC_41.hg19","SU070","LSC","41.hg19","BAMs/SU070_LSC_41.hg19_rCRSchrm.bam",10178
"SU070_LSC_42.hg19","SU070_LSC_42.hg19","SU070","LSC","42.hg19","BAMs/SU070_LSC_42.hg19_rCRSchrm.bam",4447
"SU070_LSC_43.hg19","SU070_LSC_43.hg19","SU070","LSC","43.hg19","BAMs/SU070_LSC_43.hg19_rCRSchrm.bam",8068
"SU070_LSC_44.hg19","SU070_LSC_44.hg19","SU070","LSC","44.hg19","BAMs/SU070_LSC_44.hg19_rCRSchrm.bam",19828
"SU070_LSC_47.hg19","SU070_LSC_47.hg19","SU070","LSC","47.hg19","BAMs/SU070_LSC_47.hg19_rCRSchrm.bam",20589
"SU070_LSC_48.hg19","SU070_LSC_48.hg19","SU070","LSC","48.hg19","BAMs/SU070_LSC_48.hg19_rCRSchrm.bam",37309
"SU070_LSC_49.hg19","SU070_LSC_49.hg19","SU070","LSC","49.hg19","BAMs/SU070_LSC_49.hg19_rCRSchrm.bam",14665
"SU070_LSC_51.hg19","SU070_LSC_51.hg19","SU070","LSC","51.hg19","BAMs/SU070_LSC_51.hg19_rCRSchrm.bam",17924
"SU070_LSC_52.hg19","SU070_LSC_52.hg19","SU070","LSC","52.hg19","BAMs/SU070_LSC_52.hg19_rCRSchrm.bam",77700
"SU070_LSC_56.hg19","SU070_LSC_56.hg19","SU070","LSC","56.hg19","BAMs/SU070_LSC_56.hg19_rCRSchrm.bam",14838
"SU070_LSC_57.hg19","SU070_LSC_57.hg19","SU070","LSC","57.hg19","BAMs/SU070_LSC_57.hg19_rCRSchrm.bam",14769
"SU070_LSC_58.hg19","SU070_LSC_58.hg19","SU070","LSC","58.hg19","BAMs/SU070_LSC_58.hg19_rCRSchrm.bam",7038
"SU070_LSC_59.hg19","SU070_LSC_59.hg19","SU070","LSC","59.hg19","BAMs/SU070_LSC_59.hg19_rCRSchrm.bam",11871
"SU070_LSC_5.hg19","SU070_LSC_5.hg19","SU070","LSC","5.hg19","BAMs/SU070_LSC_5.hg19_rCRSchrm.bam",7789
"SU070_LSC_60.hg19","SU070_LSC_60.hg19","SU070","LSC","60.hg19","BAMs/SU070_LSC_60.hg19_rCRSchrm.bam",6694
"SU070_LSC_64.hg19","SU070_LSC_64.hg19","SU070","LSC","64.hg19","BAMs/SU070_LSC_64.hg19_rCRSchrm.bam",23800
"SU070_LSC_65.hg19","SU070_LSC_65.hg19","SU070","LSC","65.hg19","BAMs/SU070_LSC_65.hg19_rCRSchrm.bam",19286
"SU070_LSC_66.hg19","SU070_LSC_66.hg19","SU070","LSC","66.hg19","BAMs/SU070_LSC_66.hg19_rCRSchrm.bam",18098
"SU070_LSC_68.hg19","SU070_LSC_68.hg19","SU070","LSC","68.hg19","BAMs/SU070_LSC_68.hg19_rCRSchrm.bam",4850
"SU070_LSC_6.hg19","SU070_LSC_6.hg19","SU070","LSC","6.hg19","BAMs/SU070_LSC_6.hg19_rCRSchrm.bam",43057
"SU070_LSC_70.hg19","SU070_LSC_70.hg19","SU070","LSC","70.hg19","BAMs/SU070_LSC_70.hg19_rCRSchrm.bam",24980
"SU070_LSC_71.hg19","SU070_LSC_71.hg19","SU070","LSC","71.hg19","BAMs/SU070_LSC_71.hg19_rCRSchrm.bam",42723
"SU070_LSC_75.hg19","SU070_LSC_75.hg19","SU070","LSC","75.hg19","BAMs/SU070_LSC_75.hg19_rCRSchrm.bam",20023
"SU070_LSC_77.hg19","SU070_LSC_77.hg19","SU070","LSC","77.hg19","BAMs/SU070_LSC_77.hg19_rCRSchrm.bam",45980
"SU070_LSC_78.hg19","SU070_LSC_78.hg19","SU070","LSC","78.hg19","BAMs/SU070_LSC_78.hg19_rCRSchrm.bam",18017
"SU070_LSC_82.hg19","SU070_LSC_82.hg19","SU070","LSC","82.hg19","BAMs/SU070_LSC_82.hg19_rCRSchrm.bam",18056
"SU070_LSC_88.hg19","SU070_LSC_88.hg19","SU070","LSC","88.hg19","BAMs/SU070_LSC_88.hg19_rCRSchrm.bam",27054
"SU070_LSC_9.hg19","SU070_LSC_9.hg19","SU070","LSC","9.hg19","BAMs/SU070_LSC_9.hg19_rCRSchrm.bam",16229
"SU353_Blast_13.hg19","SU353_Blast_13.hg19","SU353","Blast","13.hg19","BAMs/SU353_Blast_13.hg19_rCRSchrm.bam",20012
"SU353_Blast_14.hg19","SU353_Blast_14.hg19","SU353","Blast","14.hg19","BAMs/SU353_Blast_14.hg19_rCRSchrm.bam",11980
"SU353_Blast_15.hg19","SU353_Blast_15.hg19","SU353","Blast","15.hg19","BAMs/SU353_Blast_15.hg19_rCRSchrm.bam",16670
"SU353_Blast_16.hg19","SU353_Blast_16.hg19","SU353","Blast","16.hg19","BAMs/SU353_Blast_16.hg19_rCRSchrm.bam",14642
"SU353_Blast_17.hg19","SU353_Blast_17.hg19","SU353","Blast","17.hg19","BAMs/SU353_Blast_17.hg19_rCRSchrm.bam",31246
"SU353_Blast_1.hg19","SU353_Blast_1.hg19","SU353","Blast","1.hg19","BAMs/SU353_Blast_1.hg19_rCRSchrm.bam",30866
"SU353_Blast_20.hg19","SU353_Blast_20.hg19","SU353","Blast","20.hg19","BAMs/SU353_Blast_20.hg19_rCRSchrm.bam",55488
"SU353_Blast_21.hg19","SU353_Blast_21.hg19","SU353","Blast","21.hg19","BAMs/SU353_Blast_21.hg19_rCRSchrm.bam",7463
"SU353_Blast_25.hg19","SU353_Blast_25.hg19","SU353","Blast","25.hg19","BAMs/SU353_Blast_25.hg19_rCRSchrm.bam",11412
"SU353_Blast_26.hg19","SU353_Blast_26.hg19","SU353","Blast","26.hg19","BAMs/SU353_Blast_26.hg19_rCRSchrm.bam",13677
"SU353_Blast_27.hg19","SU353_Blast_27.hg19","SU353","Blast","27.hg19","BAMs/SU353_Blast_27.hg19_rCRSchrm.bam",13094
"SU353_Blast_29.hg19","SU353_Blast_29.hg19","SU353","Blast","29.hg19","BAMs/SU353_Blast_29.hg19_rCRSchrm.bam",28290
"SU353_Blast_30.hg19","SU353_Blast_30.hg19","SU353","Blast","30.hg19","BAMs/SU353_Blast_30.hg19_rCRSchrm.bam",10070
"SU353_Blast_32.hg19","SU353_Blast_32.hg19","SU353","Blast","32.hg19","BAMs/SU353_Blast_32.hg19_rCRSchrm.bam",25699
"SU353_Blast_33.hg19","SU353_Blast_33.hg19","SU353","Blast","33.hg19","BAMs/SU353_Blast_33.hg19_rCRSchrm.bam",15585
"SU353_Blast_34.hg19","SU353_Blast_34.hg19","SU353","Blast","34.hg19","BAMs/SU353_Blast_34.hg19_rCRSchrm.bam",14034
"SU353_Blast_35.hg19","SU353_Blast_35.hg19","SU353","Blast","35.hg19","BAMs/SU353_Blast_35.hg19_rCRSchrm.bam",25442
"SU353_Blast_37.hg19","SU353_Blast_37.hg19","SU353","Blast","37.hg19","BAMs/SU353_Blast_37.hg19_rCRSchrm.bam",11940
"SU353_Blast_3.hg19","SU353_Blast_3.hg19","SU353","Blast","3.hg19","BAMs/SU353_Blast_3.hg19_rCRSchrm.bam",24866
"SU353_Blast_40.hg19","SU353_Blast_40.hg19","SU353","Blast","40.hg19","BAMs/SU353_Blast_40.hg19_rCRSchrm.bam",14476
"SU353_Blast_44.hg19","SU353_Blast_44.hg19","SU353","Blast","44.hg19","BAMs/SU353_Blast_44.hg19_rCRSchrm.bam",20892
"SU353_Blast_45.hg19","SU353_Blast_45.hg19","SU353","Blast","45.hg19","BAMs/SU353_Blast_45.hg19_rCRSchrm.bam",6705
"SU353_Blast_46.hg19","SU353_Blast_46.hg19","SU353","Blast","46.hg19","BAMs/SU353_Blast_46.hg19_rCRSchrm.bam",10729
"SU353_Blast_49.hg19","SU353_Blast_49.hg19","SU353","Blast","49.hg19","BAMs/SU353_Blast_49.hg19_rCRSchrm.bam",23676
"SU353_Blast_4.hg19","SU353_Blast_4.hg19","SU353","Blast","4.hg19","BAMs/SU353_Blast_4.hg19_rCRSchrm.bam",12107
"SU353_Blast_50.hg19","SU353_Blast_50.hg19","SU353","Blast","50.hg19","BAMs/SU353_Blast_50.hg19_rCRSchrm.bam",6972
"SU353_Blast_53.hg19","SU353_Blast_53.hg19","SU353","Blast","53.hg19","BAMs/SU353_Blast_53.hg19_rCRSchrm.bam",11973
"SU353_Blast_54.hg19","SU353_Blast_54.hg19","SU353","Blast","54.hg19","BAMs/SU353_Blast_54.hg19_rCRSchrm.bam",22558
"SU353_Blast_55.hg19","SU353_Blast_55.hg19","SU353","Blast","55.hg19","BAMs/SU353_Blast_55.hg19_rCRSchrm.bam",6178
"SU353_Blast_56.hg19","SU353_Blast_56.hg19","SU353","Blast","56.hg19","BAMs/SU353_Blast_56.hg19_rCRSchrm.bam",36504
"SU353_Blast_57.hg19","SU353_Blast_57.hg19","SU353","Blast","57.hg19","BAMs/SU353_Blast_57.hg19_rCRSchrm.bam",11516
"SU353_Blast_58.hg19","SU353_Blast_58.hg19","SU353","Blast","58.hg19","BAMs/SU353_Blast_58.hg19_rCRSchrm.bam",16774
"SU353_Blast_5.hg19","SU353_Blast_5.hg19","SU353","Blast","5.hg19","BAMs/SU353_Blast_5.hg19_rCRSchrm.bam",6558
"SU353_Blast_61.hg19","SU353_Blast_61.hg19","SU353","Blast","61.hg19","BAMs/SU353_Blast_61.hg19_rCRSchrm.bam",20563
"SU353_Blast_62.hg19","SU353_Blast_62.hg19","SU353","Blast","62.hg19","BAMs/SU353_Blast_62.hg19_rCRSchrm.bam",33243
"SU353_Blast_63.hg19","SU353_Blast_63.hg19","SU353","Blast","63.hg19","BAMs/SU353_Blast_63.hg19_rCRSchrm.bam",13606
"SU353_Blast_64.hg19","SU353_Blast_64.hg19","SU353","Blast","64.hg19","BAMs/SU353_Blast_64.hg19_rCRSchrm.bam",29525
"SU353_Blast_69.hg19","SU353_Blast_69.hg19","SU353","Blast","69.hg19","BAMs/SU353_Blast_69.hg19_rCRSchrm.bam",22250
