"","name","subect","celltype","cell","BAM","depth"
"SU353_LSC_63.hg19","SU353_LSC_63.hg19","SU353","LSC","63.hg19","BAMs/SU353_LSC_63.hg19_rCRSchrm.bam",22147
"SU353_LSC_64.hg19","SU353_LSC_64.hg19","SU353","LSC","64.hg19","BAMs/SU353_LSC_64.hg19_rCRSchrm.bam",21293
"SU353_LSC_66.hg19","SU353_LSC_66.hg19","SU353","LSC","66.hg19","BAMs/SU353_LSC_66.hg19_rCRSchrm.bam",30309
"SU353_LSC_67.hg19","SU353_LSC_67.hg19","SU353","LSC","67.hg19","BAMs/SU353_LSC_67.hg19_rCRSchrm.bam",19795
"SU353_LSC_68.hg19","SU353_LSC_68.hg19","SU353","LSC","68.hg19","BAMs/SU353_LSC_68.hg19_rCRSchrm.bam",10113
"SU353_LSC_6.hg19","SU353_LSC_6.hg19","SU353","LSC","6.hg19","BAMs/SU353_LSC_6.hg19_rCRSchrm.bam",8595
"SU353_LSC_71.hg19","SU353_LSC_71.hg19","SU353","LSC","71.hg19","BAMs/SU353_LSC_71.hg19_rCRSchrm.bam",11874
"SU353_LSC_73.hg19","SU353_LSC_73.hg19","SU353","LSC","73.hg19","BAMs/SU353_LSC_73.hg19_rCRSchrm.bam",19783
"SU353_LSC_75.hg19","SU353_LSC_75.hg19","SU353","LSC","75.hg19","BAMs/SU353_LSC_75.hg19_rCRSchrm.bam",21146
"SU353_LSC_76.hg19","SU353_LSC_76.hg19","SU353","LSC","76.hg19","BAMs/SU353_LSC_76.hg19_rCRSchrm.bam",15640
"SU353_LSC_77.hg19","SU353_LSC_77.hg19","SU353","LSC","77.hg19","BAMs/SU353_LSC_77.hg19_rCRSchrm.bam",9138
"SU353_LSC_78.hg19","SU353_LSC_78.hg19","SU353","LSC","78.hg19","BAMs/SU353_LSC_78.hg19_rCRSchrm.bam",15252
"SU353_LSC_7.hg19","SU353_LSC_7.hg19","SU353","LSC","7.hg19","BAMs/SU353_LSC_7.hg19_rCRSchrm.bam",10943
"SU353_LSC_80.hg19","SU353_LSC_80.hg19","SU353","LSC","80.hg19","BAMs/SU353_LSC_80.hg19_rCRSchrm.bam",17935
"SU353_LSC_82.hg19","SU353_LSC_82.hg19","SU353","LSC","82.hg19","BAMs/SU353_LSC_82.hg19_rCRSchrm.bam",12554
"SU353_LSC_83.hg19","SU353_LSC_83.hg19","SU353","LSC","83.hg19","BAMs/SU353_LSC_83.hg19_rCRSchrm.bam",11436
"SU353_LSC_85.hg19","SU353_LSC_85.hg19","SU353","LSC","85.hg19","BAMs/SU353_LSC_85.hg19_rCRSchrm.bam",18491
"SU353_LSC_87.hg19","SU353_LSC_87.hg19","SU353","LSC","87.hg19","BAMs/SU353_LSC_87.hg19_rCRSchrm.bam",10359
"SU353_LSC_88.hg19","SU353_LSC_88.hg19","SU353","LSC","88.hg19","BAMs/SU353_LSC_88.hg19_rCRSchrm.bam",26374
"SU353_LSC_91.hg19","SU353_LSC_91.hg19","SU353","LSC","91.hg19","BAMs/SU353_LSC_91.hg19_rCRSchrm.bam",17239
"SU353_LSC_94.hg19","SU353_LSC_94.hg19","SU353","LSC","94.hg19","BAMs/SU353_LSC_94.hg19_rCRSchrm.bam",9927
"SU353_LSC_95.hg19","SU353_LSC_95.hg19","SU353","LSC","95.hg19","BAMs/SU353_LSC_95.hg19_rCRSchrm.bam",12282
